Nome;Idade (dias);PRs;Releases;Última Atualização (dias);Linguagem;Fechamento de Issues (%)
gogs;4028;1739;82;0;Go;82.39%
x64dbg;3604;698;2;0;C++;75.51%
huginn;4367;1041;1;0;Ruby;72.79%
architecture-samples;3305;231;0;0;Kotlin;72.08%
30-Days-Of-Python;1922;55;0;0;Python;58.59%
quill;4589;379;95;0;TypeScript;87.97%
pandas;5296;26501;109;0;Python;86.72%
meteor;4783;2398;0;0;JavaScript;97.01%
pixijs;4414;3569;283;0;TypeScript;93.57%
jest;4092;5593;203;0;TypeScript;96.60%
json;4251;807;44;0;C++;97.81%
type-challenges;1675;574;0;0;TypeScript;10.41%
AdminLTE;4077;1539;75;0;Astro;95.49%
terraform;3998;12206;349;0;Go;91.49%
Deep-Live-Cam;517;69;4;0;Python;98.44%
open-source-ios-apps;3679;1250;37;0;N/A;100.00%
30-Days-Of-JavaScript;1888;98;0;0;JavaScript;35.12%
PythonDataScienceHandbook;3118;28;0;0;Jupyter Notebook;39.20%
query;1992;2451;1000;0;TypeScript;97.59%
fuels-ts;1268;1856;143;0;TypeScript;93.93%
fuels-rs;1209;858;110;0;Rust;86.91%
pocketbase;963;49;195;0;Go;98.84%
hyper;3158;3291;88;0;TypeScript;75.73%
parcel;2756;2577;39;0;JavaScript;90.49%
htmx;1776;872;24;0;JavaScript;62.58%
zx;1389;372;79;0;JavaScript;97.42%
awesome-react-components;3165;324;0;0;N/A;86.27%
TensorFlow-Examples;3391;88;0;0;Jupyter Notebook;29.66%
build-web-application-with-golang;4587;757;0;0;Go;60.07%
babel;3800;6061;426;0;TypeScript;92.91%
Fooocus;563;447;21;0;Python;87.23%
retrofit;5282;1048;2;0;HTML;95.50%
CppCoreGuidelines;3475;807;4;0;CSS;79.52%
discourse;4424;27424;0;0;Ruby;N/A
frontend-dev-bookmarks;4263;129;1;0;N/A;76.64%
jadx;4359;525;30;0;Java;77.24%
open-source-mac-os-apps;2668;523;0;0;N/A;76.70%
awesome-java;3881;691;0;0;N/A;98.52%
text-generation-webui;794;1076;58;0;Python;94.42%
brew;3275;12086;411;0;Ruby;98.40%
react-use;2310;1520;256;0;TypeScript;41.57%
grpc;3729;19590;338;0;C++;94.19%
react-hook-form;2180;1994;563;0;TypeScript;99.20%
lx-music-desktop;2019;78;109;0;TypeScript;59.21%
kubernetes-the-hard-way;3152;71;0;0;N/A;71.26%
front-end-interview-handbook;2597;310;0;0;MDX;87.00%
lazydocker;2107;186;42;0;Go;54.09%
Leaflet;5267;2998;31;0;JavaScript;92.05%
Rocket.Chat;3567;13571;1000;0;TypeScript;84.34%
git-flight-rules;3868;224;0;0;N/A;75.34%
vaultwarden;2561;913;69;0;Rust;99.50%
pm2;4295;550;124;0;JavaScript;80.86%
dbeaver;3412;5539;218;0;Java;84.62%
Alamofire;3859;650;102;0;Swift;98.67%
awesome-cheatsheets;2662;169;0;0;JavaScript;61.96%
edex-ui;2947;399;29;0;JavaScript;98.93%
JeecgBoot;2280;88;53;0;Java;99.46%
monaco-editor;3182;463;91;0;JavaScript;83.55%
yarn;3322;1654;152;0;JavaScript;71.70%
LLaMA-Factory;636;395;32;0;Python;95.14%
awesome-design-patterns;2455;31;0;0;N/A;33.33%
acme.sh;3346;1373;44;0;Shell;68.23%
prisma;2074;5746;209;0;TypeScript;79.74%
FreeDomain;268;0;0;0;HTML;N/A
